video,query,duration,motion_intensity,visual_entropy,scene_changes,system_load,cost,latency,matched
13488560_2160_3840_19fps.mp4,find all frames where three motorcycles exist in frame,20.718,14.848,7.399,0,36.25,0.001619,140.333,True
13488560_2160_3840_19fps.mp4,find all frames where a taxi is in frame,20.718,14.848,7.399,0,45.7,0.002254,195.522,True
13488560_2160_3840_19fps.mp4,find all frames where a motorcycle is moving,20.718,14.848,7.399,0,40.3,0.002885,250.386,True
15106661_2560_1440_30fps.mp4,find all frames where the advertisement panel is clearly seen,14.882,27.025,7.733,0,60.25,0.00156,135.205,True
15106661_2560_1440_30fps.mp4,find all frames where a person is walking,14.882,27.025,7.733,0,41.05,0.001676,145.273,True
15106661_2560_1440_30fps.mp4,find all frames where a car is moving,14.882,27.025,7.733,0,40.35,0.001389,120.297,True
14492440_2160_3840_29fps.mp4,find all frames where there are flowers,12.95,19.824,7.686,0,47.4,0.000352,30.163,False
14492440_2160_3840_29fps.mp4,find all frames where there is a human,12.95,19.824,7.686,0,46.75,0.000467,40.131,False
14492440_2160_3840_29fps.mp4,find are frames where there is a hand moving,12.95,19.824,7.686,0,45.75,0.001043,90.202,False
14671265_3840_2160_24fps.mp4,find the frames where the butterfly is flying off the flower,19.061,9.396,7.04,0,46.0,0.000697,60.173,True
14671265_3840_2160_24fps.mp4,find the frames where the butterfly is on the flower,19.061,9.396,7.04,0,49.55,0.000697,60.175,True
4821002-hd_1080_1920_25fps.mp4,find all frames where a man is smiling,10.52,5.234,6.416,0,54.6,0.000237,20.136,True
4821002-hd_1080_1920_25fps.mp4,fin all frames where a woman is smiling,10.52,5.234,6.416,0,48.4,0.000236,20.092,True
4821002-hd_1080_1920_25fps.mp4,find all frames where a woman is not smiling,10.52,5.234,6.416,0,90.05,0.000236,20.092,True
9278564-hd_1920_1080_30fps.mp4,find all frames where a bird is flying,21.033,3.862,5.68,0,41.45,0.00041,35.151,True
9278564-hd_1920_1080_30fps.mp4,find all frames where there is a parachute,21.033,3.862,5.68,0,41.5,0.000468,40.23,False
9278564-hd_1920_1080_30fps.mp4,find all frames where there is a airplane,21.033,3.862,5.68,0,40.4,0.000409,35.111,False
Do you like the sound of a swish_ #asmr #swish #basketball #viral #shorts #asmrbasketball #fyp.mp4,find all frames where person is jumping,6.395,1.04,7.599,1,48.05,0.000351,30.086,True
Do you like the sound of a swish_ #asmr #swish #basketball #viral #shorts #asmrbasketball #fyp.mp4,find all frames where a basketball is going inside the hoop,6.395,1.04,7.599,1,39.2,0.000409,35.102,True
How to dice an onion.mp4,find all frames where there is a woman in frame,55.12,27.366,7.383,8,43.5,0.00139,120.358,True
How to dice an onion.mp4,find all frames where there is a knife in frame,55.12,27.366,7.383,8,39.05,0.000699,60.276,True
How to dice an onion.mp4,find all frames where there are hands in frame,55.12,27.366,7.383,8,40.7,0.001217,105.378,True
